sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Miconia amazonica,Miconia,MELASTOMATACEAE,1,2,3,0,2,1,0,1,1,5,0,1,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Miconia calvescens,Miconia,MELASTOMATACEAE,1,2,3,0,2,1,0,1,1,5,1,1,0.868014269,0.024970273,0.086801427,0.003567182,TropicalHumid,TropicalHumid,
Miconia cinnamomifolia,Miconia,MELASTOMATACEAE,1,2,3,0,2,1,0,1,1,5,0,1,0.909266409,0.0,0.048262548,0.025096525,TropicalHumid,TropicalHumid,
Miconia glaberrima,Miconia,MELASTOMATACEAE,1,2,3,0,2,2,0,1,1,5,1,2,0.613107822,0.038054968,0.0,0.0,TropicalHumid,TropicalHumid,
Miconia lepidota,Miconia,MELASTOMATACEAE,1,2,3,0,2,1,0,0,1,5,0,5,0.839756592,0.006085193,0.14198783,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Miconia ligustroides,Miconia,MELASTOMATACEAE,1,2,3,0,2,2,0,2,0,1,0,1,0.405429864,0.027149321,0.39638009,0.001809955,TropicalHumid,,
Miconia longifolia,Miconia,MELASTOMATACEAE,0,2,3,0,2,1,0,0,1,5,1,1,0.877461707,0.021881838,0.035010941,0.030634573,TropicalHumid,TropicalHumid,Tropical humid forest
Miconia minutiflora,Miconia,MELASTOMATACEAE,1,2,3,0,2,1,0,2,1,5,0,3,0.764567393,0.041200706,0.082401413,0.040612125,TropicalHumid,TropicalHumid,
Miconia mirabilis,Miconia,MELASTOMATACEAE,1,2,3,0,2,2,0,2,1,5,0,2,0.861598441,0.027290448,0.031189084,0.022417154,TropicalHumid,TropicalHumid,
Miconia poeppigii,Miconia,MELASTOMATACEAE,0,2,3,0,2,2,1,1,1,5,1,1,0.685661765,0.283088235,0.022058824,0.003676471,TropicalHumid,TropicalHumid,Tropical humid forest
Miconia rubiginosa,Miconia,MELASTOMATACEAE,1,2,3,0,2,2,0,1,1,5,1,5,0.353403141,0.030104712,0.586387435,0.0,TropicalHumid,,
Miconia sellowiana,Miconia,MELASTOMATACEAE,1,2,3,0,2,1,0,1,1,5,1,5,0.778877888,0.0,0.217821782,0.001650165,TropicalHumid,TropicalHumid,Tropical humid forest
Miconia theizans,Miconia,MELASTOMATACEAE,0,2,3,0,2,0,0,1,1,5,1,1,0.506369427,0.003184713,0.353503185,0.0,TropicalHumid,,
Micrandra rossiana,Micrandra,EUPHORBIACEAE,0,2,3,0,2,2,1,0,0,1,1,1,0.942028986,0.0,0.057971014,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Micrandra spruceana,Micrandra,EUPHORBIACEAE,1,2,3,0,2,3,1,1,0,2,1,4,0.973293769,0.0,0.026706231,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Microlepis oleifolia,Microlepis,MELASTOMATACEAE,1,2,3,0,2,3,1,2,0,1,1,4,0.944444444,0.0,0.055555556,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Micropholis egensis,Micropholis,SAPOTACEAE,0,2,3,0,2,1,0,1,1,5,2,5,0.952380952,0.014005602,0.033613445,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Micropholis melinoniana,Micropholis,SAPOTACEAE,1,2,1,0,2,2,1,2,0,2,1,4,0.955445545,0.004950495,0.00990099,0.004950495,TropicalHumid,TropicalHumid,Tropical humid forest
Minquartia guianensis,Minquartia,OLACACEAE,1,2,3,0,2,2,1,2,1,5,2,0,0.985994398,0.00140056,0.010504202,0.00210084,TropicalHumid,TropicalHumid,Tropical humid forest
Mollinedia glabra,Mollinedia,MONIMIACEAE,1,2,3,1,0,0,1,1,1,5,1,3,0.975,0.0,0.0,0.025,TropicalHumid,TropicalHumid,Tropical dry forest
Mollinedia marliae,Mollinedia,MONIMIACEAE,1,2,3,1,0,0,0,1,0,5,2,3,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical dry forest
Mollinedia viridiflora,Mollinedia,MONIMIACEAE,1,2,3,1,1,1,0,1,0,5,3,2,0.937015504,0.004844961,0.0,0.007751938,TropicalHumid,TropicalHumid,Tropical humid forest
Morella pubescens,Morella,MYRICACEAE,1,2,3,1,1,1,1,1,0,5,1,2,0.647058824,0.205882353,0.0,0.0,TropicalHumid,TropicalHumid,Tropical montane
Morinda panamensis,Morinda,RUBIACEAE,1,2,3,1,2,1,1,1,0,5,1,3,0.842696629,0.029962547,0.0,0.04494382,TropicalHumid,TropicalHumid,Tropical humid forest
Mosquitoxylum jamaicense,Mosquitoxylum,ANACARDIACEAE,1,2,3,0,2,3,1,2,0,0,1,0,0.88559322,0.021186441,0.0,0.012711864,TropicalHumid,TropicalHumid,Tropical humid forest
Mouriri acutiflora,Mouriri,MELASTOMATACEAE,0,0,3,0,2,0,1,2,1,5,1,2,0.771875,0.0625,0.15625,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Mouriri barinensis,Mouriri,MELASTOMATACEAE,1,2,3,0,2,2,1,1,1,5,1,4,0.0,0.8125,0.1875,0.0,TropicalDry,TropicalHumid,Tropical dry forest
Mouriri chamissoana,Mouriri,MELASTOMATACEAE,1,2,3,0,2,1,1,2,1,0,0,5,0.952380952,0.0,0.0,0.047619048,TropicalHumid,TropicalHumid,Tropical humid forest
Mouriri huberi,Mouriri,MELASTOMATACEAE,1,2,3,0,2,2,1,2,1,5,1,1,1.0,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Myrcia amazonica,Myrcia,MYRTACEAE,1,2,3,0,2,2,0,2,1,5,1,3,0.589098532,0.060796646,0.19706499,0.008385744,TropicalHumid,TropicalHumid,
Myrcia guianensis,Myrcia,MYRTACEAE,1,2,3,0,2,2,1,2,1,1,1,3,0.438189845,0.053532009,0.308498896,0.01214128,TropicalHumid,,
Myrcia minutiflora,Myrcia,MYRTACEAE,1,2,3,0,2,1,1,1,0,5,1,2,0.991869919,0.0,0.0,0.0,TropicalHumid,TropicalHumid,Tropical humid forest
Myrcia pubipetala,Myrcia,MYRTACEAE,0,2,1,0,2,1,1,1,0,5,2,4,0.969849246,0.0,0.010050251,0.01758794,TropicalHumid,TropicalHumid,Tropical humid forest
