sp,gen,fam,Growth_Rings,Vessel_porosity,Vessel_arangement,Perforation_plates,Intervessel_pits_arregement,Mean_tangential_diameter_of_vessel_lumina,Septa_in_fibers,Fibre_wall_thickness,Parenchyma_Paratracheal,Type_of_parenchyma_banding,Ray_width,Rays_cellular_composition,TropicalHumid,TropicalDry,TropicalGrasslands,Mangrove,Biome,predicted_biome,bioma_final
Adenaspe,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aegisp,,,1,1,1,0,2,1,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Aegisp1,,,1,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aegisp1,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Albisp2,,,0,1,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Albisp2,,,0,1,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Albisp2,,,1,0,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Albisp2,,,0,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Alibsp,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Allosp,,,0,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,2,1,0,1,1,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,1,2,3,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Ampesp1,,,0,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,0,2,1,0,1,0,1,1,0,5,0,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,0,1,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,1,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,0,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Amyrpinn,,,0,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Anacexce,,,0,2,1,0,1,1,1,1,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Annomuri,,,1,1,1,0,2,1,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Annomuri,,,1,1,1,0,2,1,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Arissp,,,1,1,1,0,2,1,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,0,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspipoly,,,0,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Aspisp,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,1,0,1,1,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,1,0,1,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,0,2,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,0,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,1,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,1,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,0,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,1,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Astrgrav,,,0,2,3,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Bauhglab,,,1,0,1,0,2,2,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Bauhhyme,,,0,2,1,0,2,2,1,1,0,1,2,0,,,,,TropicalDry,,Tropical dry forest
Bauhhyme,,,0,2,1,0,2,1,0,1,0,1,0,0,,,,,TropicalDry,,Tropical dry forest
Bauhhyme,,,0,2,1,0,2,1,0,1,0,1,0,0,,,,,TropicalDry,,Tropical dry forest
Bauhhyme,,,0,2,1,0,2,1,1,1,0,1,0,0,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,1,0,1,0,0,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,1,0,2,0,0,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,1,0,2,0,0,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,1,0,2,0,1,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,1,1,0,2,0,0,1,0,5,1,0,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,3,0,2,0,0,1,0,5,1,0,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,0,2,3,0,2,0,1,1,0,5,1,0,,,,,TropicalDry,,Tropical dry forest
Bauhpeti,,,1,2,3,0,2,0,0,1,0,5,0,0,,,,,TropicalDry,,Tropical dry forest
Bignaequ,,,1,1,1,0,2,1,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Broncorn,,,1,0,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Brosalic,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Brossp,,,1,2,1,0,1,1,1,1,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Brossp,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Brossp,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Brossp,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Brossp,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Bulnarbo,,,1,1,1,0,2,0,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Bulnarbo,,,1,1,1,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Bulnarbo,,,1,1,1,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Buncarme,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncarme,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncarme,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncarme,,,1,0,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncpseu,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncpseu,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncpseu,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncpseu,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Buncsp,,,1,1,1,0,2,0,0,1,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Burssima,,,1,1,0,0,1,1,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Burssima,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Burssima,,,1,2,1,0,1,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Burssima,,,1,2,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Burssima,,,0,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Burssima,,,1,1,1,0,2,0,1,0,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Burssima,,,1,0,1,0,2,0,0,0,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,0,2,1,0,1,1,0,2,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,0,2,1,0,2,1,0,2,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,0,2,1,0,2,1,1,2,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,0,2,1,0,2,0,1,2,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Callmagd,,,0,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseacul,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseacul,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseacul,,,1,0,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseacul,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseacul,,,1,2,3,0,2,0,1,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Casecory,,,1,2,1,0,1,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Casecory,,,1,1,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseprae,,,1,0,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Caseprae,,,1,0,1,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Caseprae,,,1,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,2,1,0,1,1,0,1,0,0,0,1,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,0,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,2,1,0,2,0,1,1,0,5,1,1,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,2,1,0,2,0,0,1,0,5,1,1,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,2,1,0,2,0,0,1,0,5,1,1,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,1,1,0,2,0,0,1,0,5,1,1,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Casesylv,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Castelas,,,1,2,1,0,2,0,1,1,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Cavaplat,,,0,2,3,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cavaplat,,,0,2,3,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Ceibpent,,,0,2,1,0,2,2,1,1,0,5,0,3,,,,,TropicalDry,,Tropical dry forest
Ceibpent,,,1,1,1,0,2,1,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Ceibpent,,,1,1,1,0,2,1,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Ceibpent,,,1,1,1,0,2,1,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Celtigua,,,0,2,1,0,1,1,1,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Celtigua,,,1,2,1,0,1,1,0,1,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Celtigua,,,1,2,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Celtigua,,,1,2,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Celtigua,,,1,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Celtigua,,,1,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Chioalba,,,1,2,1,0,1,1,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Chioalba,,,1,2,1,0,2,0,1,1,0,0,1,3,,,,,TropicalDry,,Tropical dry forest
Chioalba,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Chioalba,,,1,1,1,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Chiosp,,,0,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Chomspin,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Chroperg,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Chroperg,,,0,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cithkunt,,,1,1,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cithkunt,,,0,1,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cithkunt,,,0,1,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cithkunt,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cithkunt,,,0,2,3,0,2,0,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Coccacum,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccpadi,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,0,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,1,1,0,2,0,1,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,1,1,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,0,1,1,0,2,0,1,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,0,1,1,0,2,0,1,1,0,5,1,0,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,0,1,0,2,0,1,1,0,5,1,0,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,0,1,0,2,0,1,1,0,5,1,0,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,2,3,0,2,0,1,1,0,5,0,0,,,,,TropicalDry,,Tropical dry forest
Coccsp1,,,1,2,3,0,2,0,1,1,0,5,0,0,,,,,TropicalDry,,Tropical dry forest
Coffarab,,,0,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Combacul,,,1,2,1,0,1,2,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Combacul,,,1,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Combfrut,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cordgera,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Courferr,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Courferr,,,1,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Crotgoss,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Crotgoss,,,1,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Crotgoss,,,1,0,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Crotgoss,,,1,2,3,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Crotschi,,,1,2,1,0,1,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Crotschi,,,0,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Crotsp,,,1,2,3,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cupasp1,,,1,2,1,0,1,1,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Cupasp1,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cupasp1,,,1,1,1,0,2,0,1,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Cupasp1,,,1,1,1,0,2,0,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Cynoampl,,,0,2,1,0,2,1,0,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoampl,,,0,1,1,0,2,1,0,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoampl,,,0,1,1,0,2,1,0,1,0,1,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoampl,,,0,2,3,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoampl,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynopoly,,,1,2,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynopoly,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynopoly,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoverr,,,0,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoverr,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoverr,,,1,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoverr,,,0,2,3,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Cynoverr,,,0,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Daphsp,,,1,0,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Daphsp,,,1,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Diocsp1,,,0,2,1,0,2,2,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Diossp2,,,1,2,3,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Discsp,,,1,2,1,0,1,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Discsp,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Discsp,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Entecycl,,,0,1,1,0,2,1,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Erythond,,,1,1,1,0,2,1,0,1,0,5,0,3,,,,,TropicalDry,,Tropical dry forest
Erythond,,,0,2,3,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Erytulei,,,1,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Erytulei,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Erytulei,,,1,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eschsp,,,1,1,1,0,2,1,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eschsp,,,1,1,1,0,2,1,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Esenpent,,,0,2,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugemont,,,0,2,1,0,1,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugemont,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugemont,,,1,2,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugemont,,,1,0,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugemont,,,1,2,3,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,2,1,0,1,1,1,1,0,0,0,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,1,1,0,2,0,0,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,1,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,0,1,0,2,0,1,1,0,5,1,3,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,0,1,0,2,0,1,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,0,1,0,2,0,0,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,2,3,0,2,0,1,1,0,5,1,2,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,0,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,2,3,0,2,0,0,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
Eugeproc,,,1,2,3,0,2,0,1,1,0,5,0,2,,,,,TropicalDry,,Tropical dry forest
