Species
Diploon cuidatum
Ecclinusa ramiflora
Franchetella gongrijpii
Manilkara elata
Manilkara zapota
Micropholis guyanensis
Micropholis venulosa
Pouteria amygdalicarpa
Pouteria bangii
Pouteria benai
Pouteria cuidata
Pouteria engleri
Pouteria glomerata
Pouteria guianensis
Pouteria hiida
Pouteria oblanceolata
Pouteria oppositifolia
Pouteria eciosa
Pouteria torta
Pouteria trigonoerma
Sideroxylon aff
Schoepfia obovata
Siparuna pauciflora
Athenaea glabra
Capsicum macrophyllum
Cestrum racemosum
Cuatresia cuneata
Cyphomandra homalophylla
Cyphomandra mollicella
Lycium minimum
Solanum diversifolium
Witheringia asterotricha
Discophora guianensis
Suriana maritima
Symplocos pubescens
Symplocos reflexa
Pentamerista neotropica
Schoenobiblus peruvianus
Tilia americana
Ulmus mexicana
Cecropia pachystachya
Myriocarpa longipes
Pourouma cecropiaefolia
Pourouma mollis
Citharexylum macrophyllum
Citharexylum myrianthum
Citharexylum inosum
Sambucus canadensis
Pombalia prunifolia
Rinorea paniculata
Phoradendron californicum
Phoradendron macrophyllum
Phoradendron pauciflorum
Cissus verticillata
Callisthene fasciculata
Qualea cordata
Ruizterania albiflora
Salvertia convallariodora
Vochysia acuminata
Vochysia cinnamomea
Plectrocarpa arborea
Bauhinia hymenaeifolia
Bauhinia petiolata
Calliandra magdalenae
Croton schiedeanus
Forsteronia sp1
Guettarda comata
Machaerium capote
Mayna odorata
Neea sp1
Pouteria sp7
Pseudobombax septenatum
Swartzia trianae
Trichilia carinata
Trichilia oligofoliolata
Triplaris melaenodendron
Manihot carthaginensis
Achatocarpus nigricans
Ampelocera sp1
Coccoloba sp1
Dioclea sp1
Eugenia procera
Eugenia sp5
Gustavia sp
Ocotea veraguensis
Simira cordifolia
Albizia sp2
Alibertia sp
Allophylus sp
Ampelocera macphersonii
Amyris pinnata
Coccoloba padiformis
Cynophalla verrucosa
Discophora sp
Esenbeckia pentaphylla
Gustavia superba
Iresine sp
Melicoccus oliviformis
Morf sp16
Morf sp17
Paullinia cururu
Pittoniotis trichantha
Pouteria sp1
Quadrella indica
Sorocea sprucei
Xylophragma seemannianum
Bunchosia armeniaca
Zanthoxylum sp
Erythroxylum hondense
Machaerium microphyllum
Melicoccus bijugatus
Phyllanthus botryanthus
Zanthoxylum lenticulare
Bunchosia sp2
Casearia sp1
Coccoloba sp2
Diospyros sp2
Hiraea sp
Asclepias sp
Pouteria sp11
Casearia sp6
Chiococca sp
Coccoloba sp
Erythrina velutina
Lonchocarpus pictus
Machaerium arboreum
Phryganocydia sp1
Pradosia colombiana
Zanthoxylum schreberi
Caesalpinia cassioides
Banara ibaguensis
Coccoloba obovata
Eugenia sp4
Inga sp4
Ixora sp
Jacaranda caucana
Nectandra sp
Neea macrophylla
Oxandra espintana
Pseudomalmea sp
Senegalia sp1
Sorocea sp
Tabernaemontana grandiflora
Tabernaemontana markgrafiana
Bignonia pterocalyx
Capparidastrum pachaca
Chromolaena perglabra
Cordia sp
Cynophalla flexuosa
Guapira sp
Guapira uberrima
Paullinia sp2
Quadrella odoratissima
Senegalia tamarindifolia
Senna atomaria
Vachellia pennatula
Clathrotropis macrocarpa
Coussarea paniculata
Erythroxylum macrophyllum
Ficus trigona
Guatteria metensis
Neea ignicola
Pouteria plicata
Pouteria sp4
Casearia aculeata
Citharexylum kunthianum
Coffea arabica
Cynophalla amplissima
Erythroxylum ulei
Eugenia monticola
Lycoseris mexicana
Pithecellobium lanceolatum
Psidium guineense
Xylosma intermedia
Croton sp
Cynophalla polyantha
